BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Rahul Tewatia,,,GT,Gujarat Titans,81,,52,35,120,,1111,268,,,34.72,26.34,26.34,,,7.91,140,,,,38,35,,,,,32,,,,3/18,3/18,0,,0,0,,0
Thisara Perera,,,RPS,,37,,36,,279,,1016,227,,,32.77,22.52,22.52,,,8.73,116,,,,23,26,,,,,31,,,,3/20,3/20,0,,0,0,,0
Murali Kartik,,,RCB,Royal Challengers Bangalore,56,,55,,0,,1388,384,,,44.77,37.06,37.06,,,7.25,191,,,,7,1,,,,,31,,,,3/17,3/17,1,,0,0,,0
Glenn Maxwell,,,RCB,Royal Challengers Bangalore,124,,73,19,28,,1174,271,,,37.87,27.35,27.35,,,8.31,141,,,,176,130,,,,,31,,,,2/15,2/15,1,,0,0,,0
Chris Woakes,,,DC,Delhi Capitals,21,,21,,314,,658,167,,,21.93,14.67,14.67,,,8.97,73,,,,7,2,,,,,30,,,,3/36,3/36,0,,0,0,,0
Shivam Mavi,,,KKR,Kolkata Knight Riders,32,,32,16,154,,942,267,,,31.40,21.63,21.63,,,8.71,108,,,,22,15,,,,,30,,,,4/21,4/21,2,,1,0,,0
Chris Jordan,,,MI,Mumbai Indians,34,,34,17,519,,1070,218,,,35.67,22.27,22.27,,,9.61,110,,,,36,23,,,,,30,,,,4/11,4/11,1,,1,0,,0
Ajit Agarkar,,,DC,Delhi Capitals,42,,42,,464,,1151,256,,,39.69,26.97,26.97,,,8.83,130,,,,13,5,,,,,29,,,,3/25,3/25,0,,0,0,,0
Azhar Mahmood,,,KKR,Kolkata Knight Riders,23,,23,,0,,700,199,,,24.14,18.52,18.52,,,7.82,89,,,,39,13,,,,,29,,,,3/20,3/20,0,,0,0,,0
Umran Malik,,,SRH,Sunrisers Hyderabad,25,,25,20,637,,757,215,,,26.10,16.79,16.79,,,9.33,81,,,,82,26,,,,,29,,,,5/25,5/25,1,,1,1,,0
Adam Zampa,,,RR,Rajasthan Royals,20,,20,18,24,,558,130,,,19.24,14.45,14.45,,,7.99,70,,,,16,8,,,,,29,,,,6/19,6/19,0,,0,1,,0
Mayank Markande,,,SRH,Sunrisers Hyderabad,30,,30,20,87,,810,189,,,27.93,20.28,20.28,,,8.27,98,,,,33,14,,,,,29,,,,4/15,4/15,0,,2,0,,0
Pravin Tambe,,,GL,,33,,33,,531,,853,204,,,30.46,23.57,23.57,,,7.75,110,,,,1,0,,,,,28,,,,4/20,4/20,0,,1,0,,1
Amit Singh,,,RR,Rajasthan Royals,23,,23,,0,,620,189,,,22.14,16.89,16.89,,,7.86,78,,,,0,0,,,,,28,,,,4/19,4/19,1,,1,0,,0
Ben Stokes,,,CSK,Chennai Super Kings,45,,38,13,177,,992,242,,,35.43,24.61,24.61,,,8.64,115,,,,81,33,,,,,28,,,,3/15,3/15,2,,0,0,,0
